"STATION,""DATE"",""TAVG"",""TMAX"",""TMIN"""
"RSM00026063,""2023-01-01"",""1.6"",,"
"RSM00026063,""2023-01-02"",""-1.5"",""0.4"","
"RSM00026063,""2023-01-03"",""-2.1"",,"
"RSM00026063,""2023-01-04"",""-5.5"",,"
"RSM00026063,""2023-01-05"",""-12.4"",""-8.3"","
"RSM00026063,""2023-01-06"",""-10.3"",""-6.5"","
"RSM00026063,""2023-01-07"",""-11.6"",,"
"RSM00026063,""2023-01-08"",""-16.3"",""-12.4"","
"RSM00026063,""2023-01-09"",""-10.1"",,""-13.1"""
"RSM00026063,""2023-01-10"",""-6.3"",,"
"RSM00026063,""2023-01-11"",""-2.5"",,""-4.1"""
"RSM00026063,""2023-01-12"",""-3.6"",,""-4.2"""
"RSM00026063,""2023-01-13"",""0.6"",""2.8"",""-3.5"""
"RSM00026063,""2023-01-14"",""1.8"",,"
"RSM00026063,""2023-01-15"",""2.2"",,"
"RSM00026063,""2023-01-16"",""2.1"",""3.4"","
"RSM00026063,""2023-01-17"",""0.8"",,"
"RSM00026063,""2023-01-18"",""1.6"",""3.0"",""0.2"""
"RSM00026063,""2023-01-19"",""2.0"",""5.0"",""0.5"""
"RSM00026063,""2023-01-20"",""0.6"",,"
"RSM00026063,""2023-01-21"",""-3.4"",""-0.2"","
"RSM00026063,""2023-01-22"",""-3.5"",""-2.7"",""-5.2"""
"RSM00026063,""2023-01-23"",""-4.7"",""-3.9"","
"RSM00026063,""2023-01-24"",""-1.9"",,""-6.9"""
"RSM00026063,""2023-01-25"",""1.1"",,""-0.5"""
"RSM00026063,""2023-01-26"",""2.1"",,"
"RSM00026063,""2023-01-27"",""-2.0"",,"
"RSM00026063,""2023-01-28"",""-4.4"",,""-5.2"""
"RSM00026063,""2023-01-29"",""0.1"",,""-4.5"""
"RSM00026063,""2023-01-30"",""1.2"",""2.3"","
"RSM00026063,""2023-01-31"",""0.2"",,"
"RSM00026063,""2023-02-01"",""-0.2"",""0.7"",""-1.8"""
"RSM00026063,""2023-02-02"",""-1.1"",,"
"RSM00026063,""2023-02-03"",""-4.3"",,"
"RSM00026063,""2023-02-04"",""-3.0"",,"
"RSM00026063,""2023-02-05"",""-6.1"",,""-8.3"""
"RSM00026063,""2023-02-06"",""-1.7"",""-0.4"",""-6.1"""
"RSM00026063,""2023-02-07"",""-2.5"",,"
"RSM00026063,""2023-02-08"",""0.1"",,""-2.3"""
"RSM00026063,""2023-02-09"",""0.6"",,"
"RSM00026063,""2023-02-10"",""-0.6"",,"
"RSM00026063,""2023-02-11"",""-2.9"",""0.1"","
"RSM00026063,""2023-02-12"",""-3.3"",,""-11.1"""
"RSM00026063,""2023-02-13"",""2.1"",,""-1.7"""
"RSM00026063,""2023-02-14"",""0.5"",""3.5"",""-1.3"""
"RSM00026063,""2023-02-15"",""0.7"",""3.4"",""-1.7"""
"RSM00026063,""2023-02-16"",""-0.3"",,"
"RSM00026063,""2023-02-17"",""-3.7"",,"
"RSM00026063,""2023-02-18"",""-2.8"",""-1.6"","
"RSM00026063,""2023-02-19"",""-4.7"",""-3.3"","
"RSM00026063,""2023-02-20"",""-8.2"",""-5.2"","
"RSM00026063,""2023-02-21"",""-10.5"",""-6.7"","
"RSM00026063,""2023-02-22"",""-12.8"",""-6.2"","
"RSM00026063,""2023-02-23"",""-9.8"",,""-16.3"""
"RSM00026063,""2023-02-24"",""-3.9"",""-1.4"",""-7.7"""
"RSM00026063,""2023-02-25"",""-3.1"",""-1.6"","
"RSM00026063,""2023-02-26"",""-4.1"",""-3.6"","
"RSM00026063,""2023-02-27"",""-5.1"",,""-11.6"""
"RSM00026063,""2023-02-28"",""0.4"",,"
"RSM00026063,""2023-03-01"",""-2.7"",,"
"RSM00026063,""2023-03-02"",""-0.6"",""3.0"","
"RSM00026063,""2023-03-03"",""-0.7"",,"
"RSM00026063,""2023-03-04"",""-0.7"",""2.7"","
"RSM00026063,""2023-03-05"",""-1.9"",""1.3"","
"RSM00026063,""2023-03-06"",""-4.3"",""-1.0"",""-9.1"""
"RSM00026063,""2023-03-07"",""-7.3"",""-3.7"",""-12.1"""
"RSM00026063,""2023-03-08"",""-2.9"",,""-9.1"""
"RSM00026063,""2023-03-09"",""-7.6"",,"
"RSM00026063,""2023-03-10"",""-9.4"",""-1.4"","
"RSM00026063,""2023-03-11"",""-8.4"",""-2.4"","
"RSM00026063,""2023-03-12"",""-4.4"",,"
"RSM00026063,""2023-03-13"",""-2.6"",,""-7.8"""
"RSM00026063,""2023-03-14"",""3.9"",""7.9"",""-2.4"""
"RSM00026063,""2023-03-15"",""2.8"",""5.7"","
"RSM00026063,""2023-03-16"",""-0.6"",,"
"RSM00026063,""2023-03-17"",""-0.9"",""5.1"","
"RSM00026063,""2023-03-18"",""3.4"",""6.5"","
"RSM00026063,""2023-03-19"",""3.8"",""6.0"","
"RSM00026063,""2023-03-20"",""5.8"",""10.4"","
"RSM00026063,""2023-03-21"",""1.6"",""4.2"","
"RSM00026063,""2023-03-22"",""1.4"",,""-1.1"""
"RSM00026063,""2023-03-23"",""6.6"",,"
"RSM00026063,""2023-03-24"",""5.1"",,""1.5"""
"RSM00026063,""2023-03-25"",""4.3"",""7.1"","
"RSM00026063,""2023-03-26"",""2.3"",,"
"RSM00026063,""2023-03-27"",""-0.4"",""0.5"",""-1.3"""
"RSM00026063,""2023-03-28"",""-0.4"",""1.7"","
"RSM00026063,""2023-03-29"",""-1.9"",""-0.5"","
"RSM00026063,""2023-03-30"",""-3.7"",""0.9"","
"RSM00026063,""2023-03-31"",""-0.3"",""3.6"","
"RSM00026063,""2023-04-01"",""-0.1"",""1.7"","
"RSM00026063,""2023-04-02"",""0.0"",""2.9"",""-3.6"""
"RSM00026063,""2023-04-03"",""-1.0"",""0.4"","
"RSM00026063,""2023-04-04"",""-0.1"",""1.8"","
"RSM00026063,""2023-04-05"",""2.8"",""5.5"",""0.2"""
"RSM00026063,""2023-04-06"",""3.9"",""9.5"","
"RSM00026063,""2023-04-07"",""4.2"",""10.5"","
"RSM00026063,""2023-04-08"",""5.4"",""12.2"","
"RSM00026063,""2023-04-09"",""5.8"",""13.5"","
"RSM00026063,""2023-04-10"",""6.2"",,"
"RSM00026063,""2023-04-11"",""7.9"",,"
"RSM00026063,""2023-04-12"",""10.0"",""17.3"","
"RSM00026063,""2023-04-13"",""5.5"",,"
"RSM00026063,""2023-04-14"",""4.4"",,""0.5"""
"RSM00026063,""2023-04-15"",""4.7"",""8.6"","
"RSM00026063,""2023-04-16"",""6.7"",,"
"RSM00026063,""2023-04-17"",""6.8"",""13.1"","
"RSM00026063,""2023-04-18"",""7.3"",""13.1"","
"RSM00026063,""2023-04-19"",""7.8"",""13.3"","
"RSM00026063,""2023-04-20"",""7.5"",,"
"RSM00026063,""2023-04-21"",""9.4"",,""2.9"""
"RSM00026063,""2023-04-22"",""11.1"",,"
"RSM00026063,""2023-04-23"",""11.7"",,"
"RSM00026063,""2023-04-24"",""14.3"",,"
